Original Comment,Cleaned Comment,VADER Sentiment,Hugging Face Sentiment
we fought fought fought Mr President and you will be in the office on Jan 20!🙏,fought fought fought mr president office jan,Negative,NEGATIVE
&quot;Courage cannot be counterfeited. It is one virtue that escapes hypocrisy.&quot; - Napoleon Bonaparte,quotcourage counterfeited one virtue escapes hypocrisyquot napoleon bonaparte,Positive,NEGATIVE
"Well the timeline splited in two right here, that&#39;s for sure.<br>And we are in this one.",well timeline splited two right thats surebrand one,Positive,POSITIVE
This is not badass! It’s fake.,badass fake,Negative,NEGATIVE
Fake,fake,Negative,NEGATIVE
why he missed him 🙄,missed,Negative,NEGATIVE
HE SURVIVED THIS FOR A REASON. HE IS PRESIDENT ELECT FOR A REASON. TRUMP WILL FIGHT FOR THE AMERICAN PEOPLE. WE WILL BE UNITED ONCE AGAIN. GODBLESS THE USA,survived reason president elect reason trump fight american people united godbless usa,Positive,NEGATIVE
I still remember it like it was yesterday.. We don’t understand how close we were to this being one of those “ where were you “ moments.,still remember like yesterday dont understand close one moments,Positive,NEGATIVE
God said NO to EVIL that day!,god said evil day,Negative,NEGATIVE
You&#39;ve just witnessed a 🩸oath being made 😉😈,youve witnessed oath made,Neutral,POSITIVE
So awful for the family of Cory. <br><br>But what an incredible moment .<br>That photo was everything.,awful family cory brbrbut incredible moment brthat photo everything,Negative,POSITIVE
Rip Corey,rip corey,Neutral,NEGATIVE
And from that he won,,Neutral,Neutral
This is the moment he won. When he stood up and said fight fight fight! The election result was sealed.,moment stood said fight fight fight election result sealed,Negative,POSITIVE
"he is the chosen one, the star seed, protected by the most high",chosen one star seed protected high,Positive,POSITIVE
+1000 Aura,aura,Neutral,POSITIVE
4 MORE YEARS BABY,years baby,Neutral,POSITIVE
There are other ways to get your message across that don’t involve killing people. Political violence never solves anything and it only made him mad.,ways get message across dont involve killing people political violence never solves anything made mad,Negative,NEGATIVE
Jesus Christ I can’t believe my dumbass brother commented on this listen I don’t really care much for all this political nonsense I don’t care about the right wing or the left wing they are both horrible for all I’m concerned and this is a prime example of how politics have destroyed the USA as a country the U.S.A used to be a powerful country filled with promise and hope and now it’s been reduced to a laughing stock because the American people are working against each other instead of with each other this shot should’ve been a wake up call you never ever end a person’s life just because you don’t like them instead maybe try to to see it through their perspective and reason with them instead of work against them. The American people need to be all their political and religious beliefs aside and need learn to work with each other instead of against each other respect both sides of the party and find some common ground because the USA already has a bunch of countries that hate America and the last thing we need is for our own people to turn on each other y’all make me sick sometimes and this is just the tip of the iceberg on how politics has corrupted this country that was once a power house but now is going into a downward spiral because the people can’t seem to get along with each other. Look Trump isn’t a perfect person and maybe he did or he didn’t do bad things but that’s no excuse for political violence in the end it’s only gonna make things worse and I’m not defending him btw because politics is awful anyway but I have a challenge for anyone who is reading this comment how about you put your political beliefs aside and maybe try to see it through both perspectives because each party has something valuable to offer and in the end we have all humans and we should be working with each other not against each other and if you disagree with the policies of your country instead of trying to kill people or bitching on social media how about to speak up and make your voice heard and protest because in order for change to happen you have to fight for it and you don’t have to be violent about it you can be peaceful about it. In other words y’all need to put your political and religious beliefs aside and just learn to work with each other not against each other in the end politics and religion won’t matter when you’re dead.,jesus christ cant believe dumbass brother commented listen dont really care much political nonsense dont care right wing left wing horrible im concerned prime example politics destroyed usa country usa used powerful country filled promise hope reduced laughing stock american people working instead shot shouldve wake call never ever end persons life dont like instead maybe try see perspective reason instead work american people need political religious beliefs aside need learn work instead respect sides party find common ground usa already bunch countries hate america last thing need people turn yall make sick sometimes tip iceberg politics corrupted country power house going downward spiral people cant seem get along look trump isnt perfect person maybe didnt bad things thats excuse political violence end gon na make things worse im defending btw politics awful anyway challenge anyone reading comment put political beliefs aside maybe try see perspectives party something valuable offer end humans working disagree policies country instead trying kill people bitching social media speak make voice heard protest order change happen fight dont violent peaceful words yall need put political religious beliefs aside learn work end politics religion wont matter youre dead,Negative,NEGATIVE
"Trump was literally saying take a look what happened before instantly getting hit, but nothing but respect for president Trump 🇺🇸🇺🇸🇺🇸",trump literally saying take look happened instantly getting hit nothing respect president trump,Negative,NEGATIVE
Only Jesus,jesus,Neutral,POSITIVE
as unfortunate as it is. we were apart of history.,unfortunate apart history,Negative,NEGATIVE
Staged.,staged,Neutral,POSITIVE
He’s a badass,hes badass,Negative,NEGATIVE
"At this moment I knew we had the election in the bag, this moment won Trump the election✊",moment knew election bag moment trump election,Neutral,NEGATIVE
"Gets shot, berated by the media, prosecuted with felonies and wins the Presidency, House, Senate, Popular Vote and the Supreme Court.",gets shot berated media prosecuted felonies wins presidency house senate popular vote supreme court,Positive,NEGATIVE
RIP Kory (or cory),rip kory cory,Neutral,NEGATIVE
You can&#39;t kill trump ❤,cant kill trump,Positive,NEGATIVE
This is the moment that won him the election,moment election,Neutral,POSITIVE
This is the moment the world knew he was returning to the White House where he belongs,moment world knew returning white house belongs,Neutral,POSITIVE
Fight fight fight,fight fight fight,Negative,POSITIVE
God saved him for a reason ! LOVE FROM HINDUS !❤❤🕉,god saved reason love hindus,Positive,POSITIVE
Bro got shot and hit the Zyzz,bro got shot hit zyzz,Neutral,NEGATIVE
We love Trump from India may you have healthy life 😊,love trump india may healthy life,Positive,POSITIVE
Nobody gonna talk about bodyguards?,nobody gon na talk bodyguards,Neutral,NEGATIVE
That day he won,day,Neutral,POSITIVE
"This is the most iconic moment in American history.  This is America&#39;s finest patriot, in his finest hour ... getting shot in the face, nearly losing his life, fighting to save his country, and never wavering for a moment in that quest.  You cannot fake these moments.  This is who he is.",iconic moment american history americas finest patriot finest hour getting shot face nearly losing life fighting save country never wavering moment quest fake moments,Negative,POSITIVE
"Revelation 13:3 &quot;One of its heads seemed to have had a fatal wound, but the fatal wound had been healed. The whole world was filled with wonder and followed the beast&quot;",revelation quotone heads seemed fatal wound fatal wound healed whole world filled wonder followed beastquot,Negative,POSITIVE
Mot to say but the shooter had the worst aim<br>Like that type of shit was that,mot say shooter worst aimbrlike type shit,Negative,NEGATIVE
As soon as this happened the election was over,soon happened election,Neutral,POSITIVE
"A bullet passed through my ear, and I heard the whisper of God—it was his vote for me. They didn&#39;t dare aim at my heart, because it holds something American",bullet passed ear heard whisper godit vote didnt dare aim heart holds something american,Neutral,NEGATIVE
